StateAb,Ticket,CandidateNm,PartyNm,BallotPosition
ACT,A,"GALLAGHER, Katy",Australian Labor Party,1
ACT,A,"NORTHAM, Maddy",Australian Labor Party,2
ACT,B,"ANGEL, Joy",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
ACT,B,"HAYDON, John",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
ACT,C,"SAVOULIDIS, James",United Australia Party,1
ACT,C,"PAGE, Tracey",United Australia Party,2
ACT,D,"SESELJA, Zed",Liberal,1
ACT,D,"LAM, Kacey",Liberal,2
ACT,E,"POCOCK, David",David Pocock,1
ACT,E,"DOUBE, Clare",David Pocock,2
ACT,F,"RUBENSTEIN, Kim",Kim for Canberra,1
ACT,F,"HUYNH, Kim",Kim for Canberra,2
ACT,G,"FAULKNER, Therese",Australian Progressives,1
ACT,G,"LIN, Stephen",Australian Progressives,2
ACT,H,"GORENG GORENG, Tjanara",The Greens,1
ACT,H,"CRUZ, James",The Greens,2
ACT,I,"KATELARIS, Andrew",Legalise Cannabis Australia,1
ACT,I,"STANVIC, Michelle",Legalise Cannabis Australia,2
ACT,J,"del VALLE, Yana",Animal Justice Party,1
ACT,J,"FAHIZ, Jannah",Animal Justice Party,2
ACT,K,"SIMMS, Michael",Informed Medical Options Party,1
ACT,K,"LIDDICOAT, Mary-Jane",Informed Medical Options Party,2
ACT,UG,"LI, Fuxin",Independent,1
NSW,A,"BROLLO, Darren",Animal Justice Party,1
NSW,A,"POWER, Julie",Animal Justice Party,2
NSW,B,"KEEN, Steve",TNL,1
NSW,B,"GREEN, Melissa",TNL,2
NSW,C,"LIU, Kingsley",Citizens Party,1
NSW,C,"LAWLER, Ann",Citizens Party,2
NSW,D,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
NSW,D,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
NSW,E,"SHOEBRIDGE, David",The Greens,1
NSW,E,"COHN, Amanda",The Greens,2
NSW,E,"FLOOD, Rochelle",The Greens,3
NSW,E,"SCOTT, Jane",The Greens,4
NSW,E,"ARYA, Hawa",The Greens,5
NSW,E,"WHEELER, Danielle",The Greens,6
NSW,F,"BODDY, Max",,1
NSW,F,"GRENFELL, Oscar",,2
NSW,G,"PAYNE, Marise",Liberal,1
NSW,G,"CADELL, Ross",The Nationals,2
NSW,G,"MOLAN, Jim",Liberal,3
NSW,G,"PENFOLD, Alison Louise",The Nationals,4
NSW,G,"JARVIS, Mary-Lou",Liberal,5
NSW,G,"McGAHEY, Vicky",Liberal,6
NSW,H,"CARO, Jane",Reason Australia,1
NSW,H,"MAHER, Hannah Kate",Reason Australia,2
NSW,H,"RYALL, Diana",Reason Australia,3
NSW,I,"SANCHEZ, Paula",Socialist Alliance,1
NSW,I,"LEKA, Niko",Socialist Alliance,2
NSW,I,"EVANS, Rachel",Socialist Alliance,3
NSW,J,"JONES, Ross",Federal ICAC Now,1
NSW,J,"ANDERSON, Gabrielle",Federal ICAC Now,2
NSW,K,"BATY, Steven James",Australian Democrats,1
NSW,K,"ROGERS, Suzanne",Australian Democrats,2
NSW,K,"RICHARDS, Craig Edward",Australian Democrats,3
NSW,L,"WHYMAN, Owen Douglas",Indigenous - Aboriginal Party of Australia,1
NSW,L,"BROOKE, Lawrence John",Indigenous - Aboriginal Party of Australia,2
NSW,M,"DJURIC, Shane","Shooters, Fishers and Farmers Party",1
NSW,M,"GREGORY, Desiree J","Shooters, Fishers and Farmers Party",2
NSW,M,"MILGATE, Brian","Shooters, Fishers and Farmers Party",3
NSW,M,"CROOKS, Jeremy","Shooters, Fishers and Farmers Party",4
NSW,N,"KOCHER, Dessie",Seniors United Party of Australia,1
NSW,N,"BENNIE, Ray",Seniors United Party of Australia,2
NSW,O,"O'NEILL, Michael",Informed Medical Options Party,1
NSW,O,"BURNUM BURNUM, Marelle",Informed Medical Options Party,2
NSW,P,"HOPKINS, Matthew",The Great Australian Party,1
NSW,P,"NOHRA, George",The Great Australian Party,2
NSW,Q,"BALDERSTONE, Michael",Legalise Cannabis Australia,1
NSW,Q,"HESTER, Gail",Legalise Cannabis Australia,2
NSW,R,"LEONG, Andrea","FUSION: Science, Pirate, Secular, Climate Emergency",1
NSW,R,"BRYCE, Ian R","FUSION: Science, Pirate, Secular, Climate Emergency",2
NSW,S,"McCULLOCH, Kate",Pauline Hanson's One Nation,1
NSW,S,"GRIGG, Colin",Pauline Hanson's One Nation,2
NSW,S,"SMITH, Roger",Pauline Hanson's One Nation,3
NSW,T,"RUDDICK, John",Liberal Democrats,1
NSW,T,"LARTER, John",Liberal Democrats,2
NSW,T,"CALDWELL, James Arthur",Liberal Democrats,3
NSW,T,"GUEST, Mark Antony",Liberal Democrats,4
NSW,U,"CLANCY, Selena",Australian Values Party,1
NSW,U,"GILBERT, Dave",Australian Values Party,2
NSW,V,"O'NEILL, Deborah",Labor,1
NSW,V,"McALLISTER, Jenny",Labor,2
NSW,V,"MORRIS, Shireen",Labor,3
NSW,V,"MYERS, Mich-Elle Elizabeth",Labor,4
NSW,V,"ROSE, Kylie Anne",Labor,5
NSW,V,"WARREN-SMITH, James",Labor,6
NSW,W,"MARTINO, Domenic Vincent",United Australia Party,1
NSW,W,"WRIGHTSON, Suellen",United Australia Party,2
NSW,W,"MOORE, Wayne Leslie",United Australia Party,3
NSW,W,"MARTIN, Michelle",United Australia Party,4
NSW,W,"YAP, Johnny",United Australia Party,5
NSW,W,"LOUGHREY, Kevin Andrew",United Australia Party,6
NSW,UG,"LIM, Danny",Independent,1
NSW,UG,"COLLINS, Julie",Independent,2
NSW,UG,"GRZIC, Warren",Independent,3
NSW,UG,"LU, Guitang",Independent,4
NSW,UG,"LAING, William",Independent,5
NT,A,"PRICE, Jacinta Nampijinpa",NT CLP,1
NT,A,"CIVITARESE, Kris",NT CLP,2
NT,B,"McMAHON, Sam",Liberal Democrats,1
NT,B,"HANSEN, Jed",Liberal Democrats,2
NT,C,"McCARTHY, Malarndirri",A.L.P.,1
NT,C,"GANLEY, Kate",A.L.P.,2
NT,D,"LAWRENCE, Lance",Legalise Cannabis Australia,1
NT,D,"HIBBERT, Kelly-Anne",Legalise Cannabis Australia,2
NT,E,"WHYTE, Lamaan",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
NT,E,"BELCHER, Richard",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
NT,F,"ARRIGO, Steve",The Great Australian Party,1
NT,F,"MARCUS, Angela",The Great Australian Party,2
NT,G,"CAMPBELL, Trudy",Citizens Party,1
NT,G,"FLYNN, Peter",Citizens Party,2
NT,H,"ANLEZARK, Jane",The Greens,1
NT,H,"STOKES, Dianne",The Greens,2
NT,UG,"RAJWIN, Raj",United Australia Party,1
QLD,A,"HARRIS, Len",,1
QLD,A,"YUILLE, Debra",,2
QLD,B,"LEES, Renee",Socialist Alliance,1
QLD,B,"EMANUEL, Kamala",Socialist Alliance,2
QLD,C,"BRADLEY, Bernard Anthony",Legalise Cannabis Australia,1
QLD,C,"LUYKEN, Suzette",Legalise Cannabis Australia,2
QLD,D,"MARTIN, Rhett",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
QLD,D,"FIRESTONE, Timotheos",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
QLD,E,"WILLIAMS, Ron",Reason Australia,1
QLD,E,"JORDAN, Frank",Reason Australia,2
QLD,F,"BRENNAN, Bess",TNL,1
QLD,F,"KENNISH, Hannah",TNL,2
QLD,F,"HOPLEY, Steven",TNL,3
QLD,F,"MOMSEN, Jonathon",TNL,4
QLD,F,"INGRAM, Lloyd",TNL,5
QLD,F,"CREIGHTON, Jack",TNL,6
QLD,G,"PAYNE, Kerin",Federal ICAC Now,1
QLD,G,"CARROLL, Ken",Federal ICAC Now,2
QLD,H,"DICKSON, Steve",,1
QLD,H,"LLOYD, Rebecca",,2
QLD,I,"HEAD, Mike",,1
QLD,I,"DAVIS, John",,2
QLD,J,"ALLMAN-PAYNE, Penny",Queensland Greens,1
QLD,J,"SRI, Anna",Queensland Greens,2
QLD,J,"PENNINGS, Ben",Queensland Greens,3
QLD,J,"SIDHU, Navdeep Singh",Queensland Greens,4
QLD,J,"NELLIGAN, Alyce",Queensland Greens,5
QLD,J,"HALEY, Rebecca",Queensland Greens,6
QLD,K,"HENAWAY, Lionel",Indigenous - Aboriginal Party of Australia,1
QLD,K,"CARR, Jenny-Lee",Indigenous - Aboriginal Party of Australia,2
QLD,L,"PUKALLUS, Jan",Citizens Party,1
QLD,L,"DOEL, Rod",Citizens Party,2
QLD,M,"MILES, Jason",The Great Australian Party,1
QLD,M,"COTTAM, Elise",The Great Australian Party,2
QLD,N,"RUSSELL, Heston",Australian Values Party,1
QLD,N,"HANSEN, Jay",Australian Values Party,2
QLD,O,"TILYARD, Isabel",Australian Federation Party,1
QLD,O,"BENNETT, Jackie",Australian Federation Party,2
QLD,O,"SMYTH, Michael Francis",Australian Federation Party,3
QLD,P,"SEVERNS, Mackenzie",Animal Justice Party,1
QLD,P,"WEBER, Sue",Animal Justice Party,2
QLD,Q,"ARBUCKLE, Luke",Australian Democrats,1
QLD,Q,"SIMPSON, Chris",Australian Democrats,2
QLD,R,"PALMER, Clive Frederick",United Australia Party,1
QLD,R,"BREWSTER, Martin",United Australia Party,2
QLD,R,"ADIDI, Desmond",United Australia Party,3
QLD,R,"McCABE, Jack",United Australia Party,4
QLD,S,"McGRATH, James",Liberal National Party of Queensland,1
QLD,S,"CANAVAN, Matt",Liberal National Party of Queensland,2
QLD,S,"STOKER, Amanda",Liberal National Party of Queensland,3
QLD,S,"TOBIN, Nicole",Liberal National Party of Queensland,4
QLD,S,"CRIPPS, Andrew",Liberal National Party of Queensland,5
QLD,S,"WARD, Fiona",Liberal National Party of Queensland,6
QLD,T,"LAHN, Allona",Informed Medical Options Party,1
QLD,T,"MELHOP, Jasmine",Informed Medical Options Party,2
QLD,T,"LAMBETH, Peter",Informed Medical Options Party,3
QLD,U,"SELIC, Brandon","FUSION: Science, Pirate, Secular, Climate Emergency",1
QLD,U,"WHATLING, Roger","FUSION: Science, Pirate, Secular, Climate Emergency",2
QLD,V,"PAVLOU, Drew",Drew Pavlou Democratic Alliance,1
QLD,V,"LEITCH, Simon",Drew Pavlou Democratic Alliance,2
QLD,W,"NEWMAN, Campbell",Liberal Democrats,1
QLD,W,"GRAINGER, Tegan",Liberal Democrats,2
QLD,X,"HANSON, Pauline",Pauline Hanson's One Nation,1
QLD,X,"GURUSWAMY, Raj",Pauline Hanson's One Nation,2
QLD,X,"CHRISTENSEN, George",Pauline Hanson's One Nation,3
QLD,Y,"WATT, Murray",Australian Labor Party,1
QLD,Y,"CHISHOLM, Anthony",Australian Labor Party,2
QLD,Y,"ANDREW, Edwina",Australian Labor Party,3
QLD,Y,"WARRY, Christina",Australian Labor Party,4
QLD,Y,"HENDERSON, Jen",Australian Labor Party,5
QLD,Y,"PASCOE, Richard",Australian Labor Party,6
QLD,UG,"LYON, Robert",Katter's Australian Party (KAP),1
QLD,UG,"SCHEFE, David John",Independent,2
QLD,UG,"TEMPLE, Lindsay",Independent,3
QLD,UG,"HAMILTON, Chey Geoffrey",Independent,4
QLD,UG,"SMITH, Lorraine",Independent,5
QLD,UG,"QUINLIVAN, Laurence",Independent,6
QLD,UG,"KOCHARDY, Karakan Karoly",Independent,7
QLD,UG,"ROGERS, Peter",Independent,8
SA,A,"MARKOS, Ian",Liberal Democrats,1
SA,A,"SMITH, Josh",Liberal Democrats,2
SA,B,"PFEIFFER, Louise",Animal Justice Party,1
SA,B,"PASTRO, Julie",Animal Justice Party,2
SA,C,"BIRMINGHAM, Simon",Liberal,1
SA,C,"McLACHLAN, Andrew",Liberal,2
SA,C,"LIDDLE, Kerrynne",Liberal,3
SA,C,"STOCK, Tania",Liberal,4
SA,D,"WONG, Penny",Australian Labor Party,1
SA,D,"FARRELL, Don",Australian Labor Party,2
SA,D,"GILL, Trimann",Australian Labor Party,3
SA,D,"SUTTON, Joanne",Australian Labor Party,4
SA,D,"OWENS, Belinda",Australian Labor Party,5
SA,E,"DAY, Bob",,1
SA,E,"AMADIO, Pat",,2
SA,F,"EASON, Jo-Anne",The Great Australian Party,1
SA,F,"BENNETT, Trevor",The Great Australian Party,2
SA,G,"BLANDFORD, Lisa",National Party,1
SA,G,"BUIJS, Damien",National Party,2
SA,H,"MICHIE, Elise",Sustainable Australia Party - Stop Overdevelopment / Corruption,1
SA,H,"DUXBURY, Jack",Sustainable Australia Party - Stop Overdevelopment / Corruption,2
SA,I,"FINNEY, Julie-Ann",The Local Party,1
SA,I,"PARNELL, Rodney Kenneth",The Local Party,2
